ensembl_gene_id	description
LOC408298	pumilio homolog 2, transcript variant X1
LOC100576512	U8-agatoxin-Ao1a, transcript variant X1
LOC107965500	high mobility group protein homolog TDP-1
LOC107965409	uncharacterized LOC107965409
LOC725515	zinc finger protein 543, transcript variant X1
LOC410132	GPI transamidase component PIG-T
LOC113219403	thioredoxin domain-containing protein 12-like
LOC113218595	uncharacterized LOC113218595
LOC107964214	uncharacterized LOC107964214
LOC725629	DNA-binding protein D-ETS-6-like
LOC102654986	uncharacterized LOC102654986
LOC552723	transmembrane 9 superfamily member 4
GeneID_724805	ubiquitin-like with PHD and ring finger domains 1
LOC411769	kinesin heavy chain
LOC113218748	uncharacterized LOC113218748, transcript variant X1
LOC100576263	uncharacterized LOC100576263
LOC408603	glucose dehydrogenase [FAD, quinone]
LOC726788	protein TSSC4
LOC552210	fumarylacetoacetase
LOC409173	esterase FE4
LOC113219299	uncharacterized LOC113219299, transcript variant X1
LOC725400	4-hydroxyphenylpyruvate dioxygenase, transcript variant X2
LOC724502	transcription initiation factor TFIID subunit 5, transcript variant X2
GeneID_100578083	odorant receptor 14
LOC102656893	solute carrier family 25 member 51
LOC411683	macrophage erythroblast attacher
LOC102653666	uncharacterized LOC102653666
LOC726382	uncharacterized LOC726382
LOC726373	SET and MYND domain-containing protein 4, transcript variant X1
LOC107964726	uncharacterized LOC107964726
LOC102656300	uncharacterized LOC102656300
LOC413912	constitutive coactivator of PPAR-gamma-like protein 1, transcript variant X2
LOC408777	no mechanoreceptor potential C, transcript variant X5
GeneID_724078	stargazin related protein STG-1
LOC102654797	uncharacterized LOC102654797
LOC113218806	uncharacterized LOC113218806
LOC551118	UPF0472 protein C16orf72 homolog
LOC100578779	uncharacterized LOC100578779
LOC102655587	uncharacterized LOC102655587
LOC107964859	uncharacterized LOC107964859
LOC100578311	UMP-CMP kinase, transcript variant X2
LOC725542	arrestin domain-containing protein 17, transcript variant X4
LOC102655568	uncharacterized LOC102655568, transcript variant X1
LOC552549	ribosomal protein S6 kinase beta-1, transcript variant X1
LOC406139	ankyrin-3
LOC726225	aldose 1-epimerase-like
LOC408834	beclin-1-like protein, transcript variant X2
GeneID_725168	ribosomal protein S14
LOC412260	serine/threonine-protein kinase SIK3-like, transcript variant X1
LOC410765	7,8-dihydro-8-oxoguanine triphosphatase
LOC100577576	protein obstructor-E
LOC409883	splicing factor 3A subunit 1
LOC725894	protein rhomboid, transcript variant X15
LOC113219137	uncharacterized LOC113219137, transcript variant X1
LOC102654601	uncharacterized LOC102654601
LOC102654815	uncharacterized LOC102654815, transcript variant X2
GeneID_727134	ecdysoneless
LOC102655080	uncharacterized LOC102655080
LOC726158	glutathione hydrolase 1 proenzyme, transcript variant X4
LOC102654541	zinc finger protein 776-like
LOC413081	F-box/WD repeat-containing protein 7, transcript variant X1
LOC113219225	uncharacterized LOC113219225
LOC113218817	U6atac minor spliceosomal RNA
LOC100576529	uncharacterized LOC100576529
LOC411268	uncharacterized LOC411268
LOC412504	CUE domain-containing protein 1, transcript variant X2
LOC724640	nuclear receptor subfamily 1 group D member 2, transcript variant X2
LOC408508	uncharacterized LOC408508, transcript variant X1
LOC100578200	uncharacterized LOC100578200, transcript variant X1
LOC409232	uncharacterized LOC409232
LOC725876	bifunctional transcriptional activator/DNA repair enzyme Ada
LOC107966049	uncharacterized LOC107966049, transcript variant X4
LOC102656395	heat shock transcription factor, Y-linked-like
LOC413613	B-cell receptor-associated protein 31
LOC411524	transmembrane protein 179, transcript variant X1
LOC100576591	uncharacterized protein DDB_G0284459-like, transcript variant X4
LOC100578746	aprataxin and PNK-like factor, transcript variant X2
LOC551463	decaprenyl-diphosphate synthase subunit 2
GeneID_107965014	tRNA-Leu
LOC411459	sterol regulatory element-binding protein cleavage-activating protein, transcript variant X5
LOC412419	ribosomal protein S6 kinase beta-1
LOC552421	glycogenin-1, transcript variant X1
GeneID_100629109	microRNA 3799
LOC100577043	uncharacterized LOC100577043
LOC408595	locomotion-related protein Hikaru genki, transcript variant X2
LOC551130	protein tincar, transcript variant X1
LOC551201	protein SGT1 homolog, transcript variant X2
LOC726235	lymphoid-specific helicase
LOC100576522	odorant receptor 13a, transcript variant X1
LOC107964018	arginine-glutamic acid dipeptide repeats protein-like
LOC102655879	kinesin-like protein KIF9
LOC102656841	WD repeat-containing protein WRAP73, transcript variant X2
LOC102656170	protein atonal
LOC410799	nucleolar GTP-binding protein 1
LOC412127	peptidyl-tRNA hydrolase 2, mitochondrial
GeneID_807701	NADH dehydrogenase subunit 2 [Source:UniProtKB/TrEMBL;Acc:A0A679AL58]
LOC107965671	uncharacterized LOC107965671
LOC410636	CDGSH iron-sulfur domain-containing protein 2 homolog, transcript variant X2
LOC408827	carbonic anhydrase 1
LOC413607	golgin-84
LOC410017	protein OPI10 homolog
LOC409547	NSFL1 cofactor p47, transcript variant X1
LOC100577693	uncharacterized LOC100577693
LOC100576667	E3 ubiquitin-protein ligase synoviolin A, transcript variant X3
LOC408815	probable DNA mismatch repair protein Msh6
LOC412306	TBC1 domain family member 14
LOC409959	cyclin-dependent kinase 2
LOC552138	Mig-2-like GTPase Mtl
LOC409884	xylulose kinase
LOC552265	rho GTPase-activating protein 32, transcript variant X3
LOC113218636	uncharacterized LOC113218636
LOC550715	60S ribosomal protein L12, transcript variant X2
LOC552848	MMS19 nucleotide excision repair protein homolog
LOC100578262	uncharacterized LOC100578262
LOC413855	rho GTPase-activating protein 24
LOC413222	lamin Dm0, transcript variant X2
LOC412319	rhomboid-related protein 2, transcript variant X1
LOC409569	uncharacterized LOC409569
LOC725627	clotting factor B
LOC100578741	uncharacterized LOC100578741
NC_001566.1:8557..8624_df_g	tRNA-His
LOC100576196	uncharacterized LOC100576196, transcript variant X1
LOC100578967	uncharacterized LOC100578967
LOC410336	dipeptidyl aminopeptidase-like protein 6, transcript variant X6
LOC100578547	uncharacterized LOC100578547
LOC113218716	protein C19orf12 homolog, transcript variant X2
LOC551364	homeobox protein SIX3
LOC100578623	uncharacterized LOC100578623
LOC410724	protein prickle, transcript variant X1
LOC410717	serine/threonine-protein kinase MARK2, transcript variant X2
LOC100576543	steroid receptor RNA activator 1, transcript variant X2
LOC100578882	uncharacterized LOC100578882, transcript variant X14
LOC724625	DNA-directed RNA polymerases I, II, and III subunit RPABC5
LOC551768	B-cell receptor-associated protein 31
LOC102655538	peptidyl-prolyl cis-trans isomerase C
LOC107965825	uncharacterized LOC107965825
GeneID_408764	cacophony
LOC409489	diphosphoinositol polyphosphate phosphohydrolase 1
GeneID_107964782	tRNA-Pro
LOC100577259	uncharacterized LOC100577259, transcript variant X2
LOC552392	serine palmitoyltransferase 1
LOC724331	pre-mRNA-splicing factor CWC22 homolog
GeneID_107965742	tRNA-Cys
LOC113218667	uncharacterized LOC113218667
LOC550948	tafazzin homolog
LOC726611	uncharacterized LOC726611
LOC113218567	CCR4-NOT transcription complex subunit 6-like, transcript variant X3
LOC551847	N-acetyl-D-glucosamine kinase, transcript variant X2
LOC551852	ubiquitin-conjugating enzyme E2-17 kDa, transcript variant X2
LOC726796	hydrocephalus-inducing protein homolog
LOC725496	dimethyladenosine transferase 1, mitochondrial
GeneID_104794339	microRNA 6043
LOC412436	protein CASC1, transcript variant X4
LOC551692	protein FAM50 homolog
GeneID_107964695	tRNA-Arg
LOC727251	DNA polymerase delta small subunit, transcript variant X2
LOC113219092	protein apterous-like
LOC409643	failed axon connections, transcript variant X2
GeneID_107964111	tRNA-Gly
LOC413796	methionine--tRNA ligase, cytoplasmic, transcript variant X1
LOC552632	60S ribosomal protein L22
LOC409826	proteoglycan 4, transcript variant X3
LOC724673	uncharacterized LOC724673
LOC552707	protein CDV3 homolog
LOC411882	ER membrane protein complex subunit 2-B, transcript variant X4
LOC551502	atrial natriuretic peptide-converting enzyme, transcript variant X3
LOC100576366	tRNA-splicing endonuclease subunit Sen2
LOC102654709	uncharacterized LOC102654709
LOC413754	polycomb protein Sfmbt, transcript variant X3
LOC724610	notchless protein homolog 1
LOC727630	V-type proton ATPase 116 kDa subunit a, transcript variant X2
LOC726697	coiled-coil domain-containing protein 137, transcript variant X2
LOC107965670	uncharacterized LOC107965670
LOC551841	probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase, transcript variant X2
GeneID_100629009	microRNA 3764
GeneID_677671	odorant binding protein 3
LOC552489	SEC14-like protein 2, transcript variant X1
LOC408414	tropomyosin-1
LOC551969	serine protease HTRA2, mitochondrial
LOC551354	exocyst complex component 4
LOC100576096	myosin heavy chain, non-muscle, transcript variant X1
GeneID_107964116	tRNA-Gln
LOC409699	26S proteasome non-ATPase regulatory subunit 1-like
LOC102655747	uncharacterized LOC102655747
LOC725429	ADP-ribosylation factor-like protein 6-interacting protein 1
LOC102656201	uncharacterized LOC102656201
LOC552201	WD repeat domain phosphoinositide-interacting protein 2, transcript variant X1
LOC100578212	tektin-3
LOC408833	uridine diphosphate glucose pyrophosphatase
LOC552185	GON-4-like protein, transcript variant X1
LOC725893	uncharacterized LOC725893, transcript variant X4
LOC724979	forkhead box protein A2-A-like, transcript variant X1
LOC102654371	pro-resilin-like
LOC411705	synaptojanin-1
LOC408370	TM2 domain-containing protein CG11103
LOC113219064	small nucleolar RNA SNORA16B/SNORA16A family
GeneID_807691	NADH-ubiquinone oxidoreductase chain 3 [Source:UniProtKB/TrEMBL;Acc:A0A347ZMV1]
LOC102654698	uncharacterized LOC102654698, transcript variant X2
LOC409809	T-complex protein 1 subunit beta
LOC410871	protein C12orf4 homolog
LOC100578255	ras GTPase-activating-like protein IQGAP1, transcript variant X1
LOC100578503	negative elongation factor B
LOC107965571	uncharacterized LOC107965571
LOC408864	waprin-Phi1, transcript variant X1
LOC410526	serine protease 42, transcript variant X2
LOC552116	histone H3.3
LOC551431	protein SHQ1 homolog, transcript variant X2
LOC408859	pyrroline-5-carboxylate reductase 2, transcript variant X1
GeneID_726182	larval-specific very high density lipoprotein
LOC724350	4-hydroxybenzoate polyprenyltransferase, mitochondrial, transcript variant X2
LOC724728	NF-kappa-B essential modulator
LOC726872	LDLR chaperone boca
LOC100577407	uncharacterized LOC100577407, transcript variant X3
LOC107965626	uncharacterized LOC107965626
LOC410452	carboxypeptidase B
LOC414038	protein ABHD11, transcript variant X1
LOC411474	nucleoporin NUP188 homolog
LOC410325	trifunctional enzyme subunit alpha, mitochondrial
LOC410253	ataxin-2 homolog, transcript variant X1
LOC724260	NAD kinase 2, mitochondrial-like
LOC100578714	F-box only protein 39
GeneID_107964918	tRNA-Val
LOC100576458	urea transporter 2
LOC102653634	uncharacterized LOC102653634
LOC411307	mitochondrial enolase superfamily member 1
LOC102655100	protein Cep78 homolog
LOC113219001	uncharacterized LOC113219001
GeneID_726526	neuropeptide F
GeneID_725103	chemosensory protein 6
LOC412979	dual specificity protein phosphatase MPK-4, transcript variant X1
GeneID_412484	peptidoglycan recognition protein S2
LOC412552	CCR4-NOT transcription complex subunit 6-like
LOC552150	uncharacterized LOC552150
LOC107964083	uncharacterized LOC107964083
LOC413256	uncharacterized LOC413256, transcript variant X2
LOC408271	rap1 GTPase-activating protein 1, transcript variant X14
LOC412031	S-phase kinase-associated protein 2, transcript variant X5
LOC102653910	uncharacterized LOC102653910
LOC113219295	uncharacterized LOC113219295, transcript variant X2
LOC113218872	uncharacterized LOC113218872, transcript variant X3
LOC100578744	uncharacterized LOC100578744
LOC100577905	probable serine/threonine-protein kinase DDB_G0282963, transcript variant X3
LOC102655437	uncharacterized LOC102655437
LOC412936	uncharacterized LOC412936
LOC726155	uncharacterized LOC726155
LOC724319	netrin-A-like
GeneID_410068	odorant binding protein 10
LOC100577107	uncharacterized LOC100577107, transcript variant X2
LOC724288	gem-associated protein 5, transcript variant X3
LOC408478	facilitated trehalose transporter Tret1, transcript variant X1
LOC409139	uncharacterized LOC409139, transcript variant X2
LOC408925	protein arginine N-methyltransferase 7, transcript variant X4
LOC100577295	zinc finger protein 184
LOC726510	M-phase inducer phosphatase 1, transcript variant X5
LOC113219079	putative uncharacterized protein DDB_G0283051
LOC100576435	shootin-1, transcript variant X2
LOC411358	trypsin-1, transcript variant X2
LOC100578168	glycoprotein 3-alpha-L-fucosyltransferase A, transcript variant X4
LOC412623	transmembrane protein 94, transcript variant X4
LOC552519	clustered mitochondria protein homolog, transcript variant X3
GeneID_732515	microRNA bantam
LOC408277	uncharacterized LOC408277
LOC102655712	chromatin modification-related protein eaf-1
LOC102655280	uncharacterized LOC102655280
LOC726642	DNA repair protein RAD50
LOC102654560	uncharacterized LOC102654560
LOC102656513	uncharacterized LOC102656513
LOC107964583	uncharacterized LOC107964583
LOC408418	AP-2 complex subunit mu
LOC113219166	uncharacterized LOC113219166
LOC113218563	uncharacterized LOC113218563
LOC727145	apidermin-like
LOC113218649	uncharacterized LOC113218649, transcript variant X2
LOC410788	glutamate receptor ionotropic, kainate 2, transcript variant X1
LOC408310	caveolin-3, transcript variant X2
LOC409386	ubiquitin-conjugating enzyme E2 N
LOC409378	uncharacterized LOC409378
LOC107965532	uncharacterized LOC107965532
LOC100576286	26S proteasome non-ATPase regulatory subunit 6-like
LOC409713	protein hu-li tai shao, transcript variant X3
LOC411614	RYamide receptor, transcript variant X1
LOC100576644	uncharacterized LOC100576644
LOC724117	uncharacterized LOC724117
LOC412705	YEATS domain-containing protein 4, transcript variant X2
LOC551520	golgin subfamily A member 2
GeneID_104796349	microRNA 6052
LOC552657	phosphoribosylformylglycinamidine synthase
LOC724784	nuclear speckle splicing regulatory protein 1
LOC725387	uncharacterized protein DDB_G0283357
LOC409113	guanine nucleotide-binding protein subunit beta-5, transcript variant X1
LOC551499	FIT family protein CG10671
LOC410627	putative aminopeptidase W07G4.4, transcript variant X2
LOC100576262	uncharacterized LOC100576262
LOC551526	G protein pathway suppressor 2, transcript variant X1
GeneID_100629071	microRNA 279b
LOC411366	UPF0047 protein YjbQ
LOC409204	phenoloxidase-activating factor 2, transcript variant X2
LOC552806	fidgetin-like protein 1
LOC100578128	uncharacterized LOC100578128
LOC102656015	uncharacterized LOC102656015, transcript variant X1
LOC102656910	uncharacterized LOC102656910, transcript variant X4
GeneID_406116	major royal jelly protein 5
LOC552266	40S ribosomal protein S12
LOC102656620	snRNA-activating protein complex subunit 4 homolog
LOC552812	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A
LOC724524	scm-like with four MBT domains protein 2, transcript variant X1
LOC551457	GDP-fucose protein O-fucosyltransferase 1
LOC409608	peroxidasin, transcript variant X2
LOC107965199	UDP-glucuronosyltransferase 1-1, transcript variant X4
LOC107964072	uncharacterized LOC107964072
LOC408722	sodium/potassium-transporting ATPase subunit beta-2
LOC102653813	uncharacterized LOC102653813
LOC102655466	ADP-ribosylation factor-like protein 6, transcript variant X2
LOC408841	voltage-dependent calcium channel subunit alpha-2/delta-3
LOC102656334	uncharacterized protein PFB0765w-like
GeneID_100629103	microRNA 3780
LOC727495	valine--tRNA ligase, mitochondrial, transcript variant X2
LOC113219262	uncharacterized LOC113219262
LOC409396	eukaryotic translation initiation factor 4E-binding protein Mextli, transcript variant X3
LOC410013	calexcitin-2, transcript variant X1
LOC107964262	uncharacterized LOC107964262
LOC113218976	uncharacterized LOC113218976
LOC102654992	uncharacterized LOC102654992
LOC726118	uncharacterized LOC726118
LOC408821	uncharacterized LOC408821, transcript variant X1
LOC113218564	uncharacterized LOC113218564
LOC410556	UPF0415 protein C7orf25 homolog
LOC551252	tropomyosin
LOC409538	lysoplasmalogenase-like protein TMEM86A
LOC551193	TBC1 domain family member 19, transcript variant X1
LOC100577332	GATA-binding factor C, transcript variant X1
LOC102654968	uncharacterized LOC102654968, transcript variant X2
LOC410820	proton channel OtopLc, transcript variant X3
LOC406142	hymenoptaecin
LOC551702	UPF0565 protein C2orf69 homolog
LOC102653761	uncharacterized LOC102653761, transcript variant X3
LOC100578467	protein Star
LOC100576718	uncharacterized LOC100576718
LOC113219167	uncharacterized LOC113219167
LOC113218799	uncharacterized LOC113218799
LOC412187	broad-complex core protein isoforms 1/2/3/4/5, transcript variant X1
LOC725760	tetraspanin-2A
LOC107964008	uncharacterized LOC107964008
LOC410188	60S ribosomal protein L8
LOC102655054	protein tyrosine phosphatase domain-containing protein 1
LOC100577783	protein Skeletor, isoforms B/C, transcript variant X5
LOC102654008	uncharacterized LOC102654008
GeneID_100629066	microRNA 3767
LOC412331	striatin-interacting protein 1, transcript variant X2
LOC113218761	uncharacterized LOC113218761
LOC100576128	cilia- and flagella-associated protein 100
LOC410142	RILP-like protein homolog, transcript variant X1
GeneID_107965015	tRNA-Val
LOC408480	PTB domain-containing engulfment adapter protein 1, transcript variant X2
LOC409866	eukaryotic initiation factor 4A-III
LOC552588	lipase 1, transcript variant X3
LOC411070	histone-lysine N-methyltransferase, H3 lysine-79 specific, transcript variant X2
LOC100576333	nucleoredoxin
LOC100576732	uncharacterized LOC100576732, transcript variant X2
LOC725457	sodium channel protein Nach
LOC410676	adenylate kinase isoenzyme 6
LOC410040	serine/arginine-rich splicing factor 1B, transcript variant X1
LOC727308	ephrin-B2
LOC551665	major facilitator superfamily domain-containing protein 12
LOC725634	uncharacterized LOC725634, transcript variant X2
LOC107965063	uncharacterized LOC107965063, transcript variant X4
LOC552725	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta, transcript variant X1
LOC100576283	uncharacterized LOC100576283, transcript variant X1
LOC102654482	uncharacterized LOC102654482, transcript variant X1
LOC413488	protein vav, transcript variant X3
LOC552527	cell division cycle 5-like protein
LOC726369	peptidyl-tRNA hydrolase 2, mitochondrial, transcript variant X1
LOC551623	nucleolysin TIAR, transcript variant X2
LOC408444	unconventional myosin-XV, transcript variant X3
NC_001566.1:360..429_df_g	tRNA-Ala
LOC726051	serine/threonine-protein kinase PLK1, transcript variant X2
LOC726179	protein sister of odd and bowel-like, transcript variant X1
LOC551555	MATH and LRR domain-containing protein PFE0570w, transcript variant X3
LOC100578316	uncharacterized LOC100578316
LOC409665	LIM domain and actin-binding protein 1, transcript variant X1
LOC102655522	uncharacterized LOC102655522, transcript variant X3
LOC552470	prostaglandin E synthase 3
LOC551506	sex combs reduced, transcript variant X2
LOC724924	protein FAM117B, transcript variant X2
LOC551283	SUMO-conjugating enzyme UBC9-B, transcript variant X1
LOC409845	potassium voltage-gated channel subfamily H member 8, transcript variant X1
LOC100578542	FMRFamide
LOC409559	probable protein S-acyltransferase 23
LOC409369	brain protein I3
LOC102653852	uncharacterized LOC102653852
LOC726139	tubulin-folding cofactor B, transcript variant X2
LOC726076	centrosomal protein of 131 kDa
LOC107964894	uncharacterized LOC107964894
LOC725684	COMM domain-containing protein 10, transcript variant X2
LOC413987	polypeptide N-acetylgalactosaminyltransferase 5, transcript variant X3
LOC102655153	facilitated trehalose transporter Tret1-like
GeneID_107965298	tRNA-Gln
LOC102655365	uncharacterized LOC102655365
LOC102656608	uncharacterized LOC102656608, transcript variant X2
LOC113218883	uncharacterized LOC113218883
LOC107965489	uncharacterized LOC107965489, transcript variant X2
LOC410114	solute carrier family 23 member 1, transcript variant X2
LOC725529	kynurenine/alpha-aminoadipate aminotransferase, mitochondrial, transcript variant X1
LOC107965271	uncharacterized LOC107965271
LOC552485	glycylpeptide N-tetradecanoyltransferase 1
LOC100577161	uncharacterized LOC100577161
LOC725842	elongation of very long chain fatty acids protein 6-like
LOC413408	scavenger receptor class B member 1
LOC408896	semaphorin-2A, transcript variant X1
LOC102656258	nuclear RNA export factor 2-like
LOC408601	aprataxin
LOC113219375	uncharacterized LOC113219375
LOC100578162	uncharacterized LOC100578162, transcript variant X5
LOC409176	pro-resilin
LOC725106	UDP-glucuronosyltransferase 1-8
GeneID_100315675	microRNA 929
LOC410438	neuroendocrine convertase 1, transcript variant X1
LOC102655249	uncharacterized LOC102655249
LOC409735	transcription initiation factor TFIID subunit 6, transcript variant X3
LOC113219178	small nucleolar RNA SNORA79
LOC724811	kynurenine--oxoglutarate transaminase 3-like, transcript variant X2
LOC408792	protein 4.1 homolog, transcript variant X1
GeneID_727161	apidermin 2
LOC408401	protein brunelleschi
LOC102655794	uncharacterized LOC102655794, transcript variant X2
LOC107964575	uncharacterized LOC107964575
LOC726354	serine-rich adhesin for platelets
LOC412487	annexin B9
LOC724563	uncharacterized LOC724563
LOC552187	leucine-rich repeat-containing protein 4
LOC727622	probable aspartate aminotransferase, cytoplasmic
LOC107966054	uncharacterized LOC107966054
LOC113218701	U12 minor spliceosomal RNA
LOC409520	glucosamine-6-phosphate isomerase, transcript variant X1
LOC726113	protein-serine O-palmitoleoyltransferase porcupine
GeneID_408485	reversion-inducing-cysteine-rich protein with kazal motifs
LOC107965577	uncharacterized LOC107965577
LOC102656658	uncharacterized LOC102656658, transcript variant X2
LOC102656587	ras-related protein Ral-a, transcript variant X2
LOC410530	alkaline phosphatase
LOC100578361	uncharacterized LOC100578361, transcript variant X2
LOC409019	plasmolipin, transcript variant X2
LOC552457	glucose dehydrogenase [FAD, quinone]
LOC102653977	uncharacterized LOC102653977, transcript variant X2
LOC552829	phospholipase B1, membrane-associated-like, transcript variant X2
LOC408857	hemicentin-1, transcript variant X7
LOC724752	E3 ubiquitin-protein ligase TRIM71, transcript variant X1
LOC551179	methyl farnesoate epoxidase
LOC551686	apoptosis inhibitor 5
LOC113219207	uncharacterized LOC113219207, transcript variant X1
LOC552763	cell division control protein 6 homolog
GeneID_113218615	tRNA-Gln
LOC412345	exosome complex component RRP41
LOC100577578	uncharacterized LOC100577578, transcript variant X1
LOC409010	uncharacterized LOC409010, transcript variant X2
LOC408917	mitogen-activated protein kinase 15, transcript variant X2
LOC408448	integrator complex subunit 13
LOC107965807	E3 ubiquitin-protein ligase RNF165-like
LOC113219072	uncharacterized LOC113219072
LOC107964644	uncharacterized LOC107964644
LOC726254	E3 ubiquitin-protein ligase HECTD1, transcript variant X2
GeneID_725259	eukaryotic translation initiation factor 4 gamma
LOC107965614	uncharacterized LOC107965614
LOC726669	uncharacterized LOC726669
LOC411239	conserved oligomeric Golgi complex subunit 7
LOC102654313	protein monoglycylase TTLL8
LOC413471	sodium/potassium-transporting ATPase subunit alpha-B
LOC113219065	uncharacterized LOC113219065
LOC107964284	midasin, transcript variant X1
LOC411150	chromatin assembly factor 1 subunit A
LOC552096	cytosolic carboxypeptidase 6
LOC410601	cilia- and flagella-associated protein 206
LOC412379	copper-transporting ATPase 1, transcript variant X5
LOC410417	receptor-type tyrosine-protein phosphatase kappa
LOC410999	L-2-hydroxyglutarate dehydrogenase, mitochondrial, transcript variant X6
LOC100577358	dynein assembly factor 3, axonemal
LOC412780	transmembrane protein 8B, transcript variant X1
LOC411103	putative 28S ribosomal protein S5, mitochondrial, transcript variant X2
LOC100578804	uncharacterized LOC100578804, transcript variant X2
LOC726743	doublesex- and mab-3-related transcription factor A2
LOC409351	islet cell autoantigen 1, transcript variant X2
LOC552275	AF4/FMR2 family member 4, transcript variant X2
LOC725309	keratin-associated protein 19-2
LOC102653929	uncharacterized LOC102653929
LOC409034	uncharacterized LOC409034
LOC724928	tubulin-specific chaperone C
LOC107964703	uncharacterized LOC107964703
LOC410080	spermine synthase, transcript variant X2
LOC727035	paired box pox-neuro protein
LOC726915	leucine-rich repeat and death domain-containing protein 1
LOC100576690	negative elongation factor E, transcript variant X4
LOC113218907	uncharacterized LOC113218907
LOC100576592	uncharacterized LOC100576592, transcript variant X2
LOC725343	alkyldihydroxyacetonephosphate synthase
LOC551658	anillin
LOC411896	prolyl endopeptidase, transcript variant X1
LOC411670	LON peptidase N-terminal domain and RING finger protein 1, transcript variant X2
LOC551087	periodic tryptophan protein 2 homolog
LOC551031	uncharacterized LOC551031, transcript variant X2
LOC113219390	uncharacterized LOC113219390
LOC107965076	uncharacterized LOC107965076, transcript variant X2
LOC102655889	uncharacterized protein PF11_0213
LOC102654995	uncharacterized LOC102654995
LOC413078	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase, transcript variant X1
LOC409923	leishmanolysin-like peptidase, transcript variant X2
LOC726276	uncharacterized LOC726276
LOC726472	prohormone-3
LOC107964291	uncharacterized LOC107964291
LOC102655600	uncharacterized LOC102655600
LOC727309	glutaredoxin-C4, transcript variant X2
LOC102653621	uncharacterized LOC102653621
LOC100576755	uncharacterized LOC100576755
GeneID_100578127	inhibitor of growth family, member 3
LOC724138	igLON family member 5, transcript variant X1
LOC726980	uncharacterized LOC726980
LOC113218677	5S ribosomal RNA
LOC100578890	uncharacterized LOC100578890
LOC410728	transmembrane channel-like protein 2, transcript variant X5
LOC102653994	uncharacterized LOC102653994
LOC410541	E3 ubiquitin-protein ligase Topors
LOC100577551	eukaryotic translation initiation factor 5B, transcript variant X1
LOC413265	uncharacterized LOC413265
LOC551539	uncharacterized LOC551539
GeneID_100577181	odorant receptor 37
LOC408934	choline O-acetyltransferase
LOC100576225	uncharacterized LOC100576225, transcript variant X2
LOC726028	probable rRNA-processing protein EBP2 homolog, transcript variant X1
LOC724986	protein NRDE2 homolog, transcript variant X2
LOC726029	probable RNA-binding protein 18, transcript variant X1
LOC107965241	uncharacterized LOC107965241, transcript variant X1
LOC412353	polyubiquitin-A, transcript variant X2
LOC413250	threonylcarbamoyladenosine tRNA methylthiotransferase
LOC102655357	uncharacterized LOC102655357, transcript variant X1
LOC727030	myotubularin-related protein 8, transcript variant X4
LOC107965803	uncharacterized LOC107965803
GeneID_104796167	microRNA 9879
LOC113218769	uncharacterized LOC113218769, transcript variant X6
LOC102654839	uncharacterized LOC102654839
LOC551498	uncharacterized LOC551498, transcript variant X1
LOC726827	coiled-coil domain-containing protein 170, transcript variant X1
LOC725798	protein aurora borealis
LOC410872	SUMO-activating enzyme subunit 1
LOC410856	28S ribosomal protein S29, mitochondrial, transcript variant X3
LOC100577452	protein brambleberry
GeneID_732514	microRNA iab-4
LOC409020	inaD-like protein
LOC413386	uncharacterized LOC413386
LOC552251	homeobox protein aristaless
LOC550956	ATP-dependent (S)-NAD(P)H-hydrate dehydratase, transcript variant X1
LOC102654842	uncharacterized LOC102654842
LOC725740	uncharacterized LOC725740
LOC412546	regulator of telomere elongation helicase 1 homolog
LOC412578	mediator of RNA polymerase II transcription subunit 21, transcript variant X2
LOC724508	trichoplein keratin filament-binding protein, transcript variant X1
LOC102655805	uncharacterized LOC102655805
LOC726840	BET1 homolog
LOC726599	angiotensin-converting enzyme
LOC102653963	uncharacterized LOC102653963
LOC107964272	uncharacterized LOC107964272
LOC411253	uncharacterized LOC411253, transcript variant X2
LOC107964990	uncharacterized LOC107964990
LOC724875	corepressor interacting with RBPJ 1
LOC724398	tweedle motif cuticular protein 2
LOC107965348	uncharacterized LOC107965348
LOC100576231	uncharacterized LOC100576231
LOC411734	valine--tRNA ligase, transcript variant X1
LOC410916	translocation protein SEC62, transcript variant X1
LOC100576503	uncharacterized LOC100576503
LOC412399	organic cation transporter protein, transcript variant X4
LOC408411	transcription factor Sox-2, transcript variant X3
LOC726636	WD repeat-containing and planar cell polarity effector protein fritz, transcript variant X1
LOC725662	uncharacterized LOC725662, transcript variant X1
LOC410194	protein downstream neighbor of son homolog
LOC725651	uncharacterized LOC725651
LOC413783	C-Maf-inducing protein, transcript variant X1
LOC102656138	uncharacterized LOC102656138, transcript variant X1
LOC727631	uncharacterized LOC727631
LOC726672	uncharacterized LOC726672
LOC409748	protein kinase C and casein kinase substrate in neurons protein 1, transcript variant X2
LOC725800	fibrillin-2, transcript variant X1
LOC725330	DNA polymerase delta small subunit
LOC113218881	uncharacterized LOC113218881
LOC550687	aldehyde dehydrogenase, mitochondrial
LOC414028	sorting nexin-4, transcript variant X1
LOC413252	ATP-binding cassette sub-family F member 2, transcript variant X1
LOC100578123	uncharacterized LOC100578123
LOC100576990	condensin complex subunit 2
